,API,F0,cf_high,cf_low,code,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
43,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,exp1b,AI,[0.001],0.1,0.01,200000.0,29.87458796405344,Zilany2014,Zilany2014,40.0,51.0,30.0,0.012780820212422852,none
44,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,exp1b,AI,[0.001],0.1,0.01,200000.0,39.87458796405344,Zilany2014,Zilany2014,40.0,51.0,40.0,0.014837040411760477,none
45,[0.],791.8815200973457,8710.696721070803,3959.407600486729,exp1b,AI,[0.001],0.1,0.01,200000.0,19.636352236832014,Zilany2014,Zilany2014,40.0,51.0,20.0,0.016676077108675642,none
46,[0.],791.8815200973457,8710.696721070803,3959.407600486729,exp1b,AI,[0.001],0.1,0.01,200000.0,29.636352236832014,Zilany2014,Zilany2014,40.0,51.0,30.0,0.01481584506074359,none
47,[0.],791.8815200973457,8710.696721070803,3959.407600486729,exp1b,AI,[0.001],0.1,0.01,200000.0,39.63635223683202,Zilany2014,Zilany2014,40.0,51.0,40.0,0.01849874373665586,none
48,[0.],875.17254814933,9626.89802964263,4375.86274074665,exp1b,AI,[0.001],0.1,0.01,200000.0,19.7611214338582,Zilany2014,Zilany2014,40.0,51.0,20.0,0.019923364905359224,none
49,[0.],875.17254814933,9626.89802964263,4375.86274074665,exp1b,AI,[0.001],0.1,0.01,200000.0,29.7611214338582,Zilany2014,Zilany2014,40.0,51.0,30.0,0.017260876147592887,none
50,[0.],875.17254814933,9626.89802964263,4375.86274074665,exp1b,AI,[0.001],0.1,0.01,200000.0,39.7611214338582,Zilany2014,Zilany2014,40.0,51.0,40.0,0.020887717966825575,none
51,[0.],967.2242243259274,10639.466467585202,4836.121121629637,exp1b,AI,[0.001],0.1,0.01,200000.0,20.695837741874442,Zilany2014,Zilany2014,40.0,51.0,20.0,0.023747146911120058,none
52,[0.],967.2242243259274,10639.466467585202,4836.121121629637,exp1b,AI,[0.001],0.1,0.01,200000.0,30.695837741874442,Zilany2014,Zilany2014,40.0,51.0,30.0,0.01895406581242443,none
53,[0.],967.2242243259274,10639.466467585202,4836.121121629637,exp1b,AI,[0.001],0.1,0.01,200000.0,40.69583774187444,Zilany2014,Zilany2014,40.0,51.0,40.0,0.022256049109319335,none
54,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,exp1b,AI,[0.001],0.1,0.01,200000.0,22.677518294872545,Zilany2014,Zilany2014,40.0,51.0,20.0,0.026836745788887634,none
55,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,exp1b,AI,[0.001],0.1,0.01,200000.0,32.67751829487255,Zilany2014,Zilany2014,40.0,51.0,30.0,0.020863812752645188,none
56,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,exp1b,AI,[0.001],0.1,0.01,200000.0,42.67751829487255,Zilany2014,Zilany2014,40.0,51.0,40.0,0.02354485831363415,none
57,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,exp1b,AI,[0.001],0.1,0.01,200000.0,24.977208172649956,Zilany2014,Zilany2014,40.0,51.0,20.0,0.029907746433226388,none
58,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,exp1b,AI,[0.001],0.1,0.01,200000.0,34.97720817264995,Zilany2014,Zilany2014,40.0,51.0,30.0,0.023285113040604856,none
59,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,exp1b,AI,[0.001],0.1,0.01,200000.0,44.97720817264995,Zilany2014,Zilany2014,40.0,51.0,40.0,0.02430442202257385,none
60,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,exp1b,AI,[0.001],0.1,0.01,200000.0,26.99566586349379,Zilany2014,Zilany2014,40.0,51.0,20.0,0.037184630918267875,none
61,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,exp1b,AI,[0.001],0.1,0.01,200000.0,36.99566586349379,Zilany2014,Zilany2014,40.0,51.0,30.0,0.02756783023048773,none
62,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,exp1b,AI,[0.001],0.1,0.01,200000.0,46.99566586349379,Zilany2014,Zilany2014,40.0,51.0,40.0,0.02640269441423374,none
63,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,exp1b,AI,[0.001],0.1,0.01,200000.0,28.865164487789535,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0464552363912756,none
64,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,exp1b,AI,[0.001],0.1,0.01,200000.0,38.865164487789535,Zilany2014,Zilany2014,40.0,51.0,30.0,0.033733841952700856,none
65,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,exp1b,AI,[0.001],0.1,0.01,200000.0,48.865164487789535,Zilany2014,Zilany2014,40.0,51.0,40.0,0.02892055225554689,none
66,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,exp1b,AI,[0.001],0.1,0.01,200000.0,30.73619056988742,Zilany2014,Zilany2014,40.0,51.0,20.0,0.06221964578764583,none
67,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,exp1b,AI,[0.001],0.1,0.01,200000.0,40.73619056988742,Zilany2014,Zilany2014,40.0,51.0,30.0,0.04160059672374506,none
68,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,exp1b,AI,[0.001],0.1,0.01,200000.0,50.73619056988742,Zilany2014,Zilany2014,40.0,51.0,40.0,0.034945969803116345,none
69,[0.],1762.495576511835,19387.451341630185,8812.477882559175,exp1b,AI,[0.001],0.1,0.01,200000.0,32.594091411120644,Zilany2014,Zilany2014,40.0,51.0,20.0,0.08107821003310853,none
70,[0.],1762.495576511835,19387.451341630185,8812.477882559175,exp1b,AI,[0.001],0.1,0.01,200000.0,42.594091411120644,Zilany2014,Zilany2014,40.0,51.0,30.0,0.050408391968568035,none
71,[0.],1762.495576511835,19387.451341630185,8812.477882559175,exp1b,AI,[0.001],0.1,0.01,200000.0,52.594091411120644,Zilany2014,Zilany2014,40.0,51.0,40.0,0.04168380509890748,none
