,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
47,[0.],5214.835141090398,2085.934056436159,AI,[0.001],0.1,0.01,3476.5567607269318,500000.0,250000.0,65.82534660999042,Zilany2014,Zilany2014,40.0,72.0,60.0,0.03979268634772234,none
48,[0.],5214.835141090398,2085.934056436159,AI,[0.001],0.1,0.01,3476.5567607269318,500000.0,250000.0,75.82534660999042,Zilany2014,Zilany2014,40.0,72.0,70.0,0.04249985751517537,none
49,[0.],5214.835141090398,2085.934056436159,AI,[0.001],0.1,0.01,3476.5567607269318,500000.0,250000.0,85.82534660999042,Zilany2014,Zilany2014,40.0,72.0,80.0,0.042397467602107095,none
50,[0.],5763.337624100281,2305.335049640112,AI,[0.001],0.1,0.01,3842.22508273352,500000.0,250000.0,44.39657955119893,Zilany2014,Zilany2014,40.0,72.0,40.0,0.050268972588222535,none
51,[0.],5763.337624100281,2305.335049640112,AI,[0.001],0.1,0.01,3842.22508273352,500000.0,250000.0,54.39657955119893,Zilany2014,Zilany2014,40.0,72.0,50.0,0.04037691704895462,none
52,[0.],5763.337624100281,2305.335049640112,AI,[0.001],0.1,0.01,3842.22508273352,500000.0,250000.0,64.39657955119893,Zilany2014,Zilany2014,40.0,72.0,60.0,0.056899414204499225,none
53,[0.],5763.337624100281,2305.335049640112,AI,[0.001],0.1,0.01,3842.22508273352,500000.0,250000.0,74.39657955119893,Zilany2014,Zilany2014,40.0,72.0,70.0,0.0629538305929883,none
54,[0.],5763.337624100281,2305.335049640112,AI,[0.001],0.1,0.01,3842.22508273352,500000.0,250000.0,84.39657955119893,Zilany2014,Zilany2014,40.0,72.0,80.0,0.06370143437129461,none
55,[0.],6369.5322422838035,2547.8128969135214,AI,[0.001],0.1,0.01,4246.354828189203,500000.0,250000.0,42.96831848683961,Zilany2014,Zilany2014,40.0,72.0,40.0,0.06708916801314067,none
56,[0.],6369.5322422838035,2547.8128969135214,AI,[0.001],0.1,0.01,4246.354828189203,500000.0,250000.0,52.96831848683961,Zilany2014,Zilany2014,40.0,72.0,50.0,0.056283883248151034,none
57,[0.],6369.5322422838035,2547.8128969135214,AI,[0.001],0.1,0.01,4246.354828189203,500000.0,250000.0,62.96831848683961,Zilany2014,Zilany2014,40.0,72.0,60.0,0.0821412810040788,none
